Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
pep1120,0.776,0,0,0.776,Toxin
pep1121,0.77,0,0,0.77,Toxin
pep1122,0.786,0,0,0.786,Toxin
pep1123,0.791,0,0,0.791,Toxin
pep1124,0.782,0,0,0.782,Toxin
pep1125,0.736,0,0,0.736,Toxin
pep1126,0.685,0,0,0.685,Toxin
pep1127,0.65,0,0,0.65,Toxin
pep1128,0.623,0,0,0.623,Toxin
pep1129,0.608,0,0,0.608,Toxin
pep113,0.642,0,0,0.642,Toxin
pep1130,0.584,0,0,0.584,Non-Toxin
pep1131,0.55,0,0,0.55,Non-Toxin
pep1132,0.558,0,0,0.558,Non-Toxin
pep1133,0.584,0,0,0.584,Non-Toxin
pep1134,0.602,0,0,0.602,Toxin
pep1135,0.615,0,0,0.615,Toxin
pep1136,0.615,0,0,0.615,Toxin
pep1137,0.744,0,0,0.744,Toxin
pep1138,0.741,0,0,0.741,Toxin
pep1139,0.744,0,0,0.744,Toxin
pep114,0.622,0,0,0.622,Toxin
pep1140,0.687,0,0,0.687,Toxin
pep1141,0.663,0,0,0.663,Toxin
pep1142,0.653,0,0,0.653,Toxin
pep1143,0.642,0,0,0.642,Toxin
pep1144,0.642,0,0,0.642,Toxin
pep1145,0.645,0,0,0.645,Toxin
pep1146,0.605,0,0,0.605,Toxin
pep1147,0.594,0,0,0.594,Non-Toxin
pep1148,0.61,0,0,0.61,Toxin
pep1149,0.629,0,0,0.629,Toxin
